ox,oy,dx,dy
1.947678891595138140e+01,1.869966394863450887e+01,5.504283804930328650e+00,3.964059830302502974e+00
1.867272381712695761e+01,1.849964178004876203e+01,4.969142468818228409e+00,3.917314791287377140e+00
1.764185583944398417e+01,2.045505873745713998e+01,2.948033848431928838e+00,5.549333078268376518e+00
1.878009679960588585e+01,1.787797329458690854e+01,3.151326508074440813e+00,3.788834483465800318e+00
1.929607542292678346e+01,1.852241156165442248e+01,3.872199771921615685e+00,3.590325614446836067e+00
1.823016885530519104e+01,1.917854433216108134e+01,2.705583117898997081e+00,4.580815557039267460e+00
1.842915103378653541e+01,1.769729926132647435e+01,3.653794172853939148e+00,3.887143219516510761e+00
2.050256374397853065e+01,1.962995560877518031e+01,2.204835641485308528e+00,2.983153718574603097e+00
2.035510741445693839e+01,1.742110418848421460e+01,4.167963590526847284e+00,3.422032496032680005e+00
1.921642930833327867e+01,1.905695850405044922e+01,3.618536476774796284e+00,2.560754935576155411e+00
1.818003852832680423e+01,1.923369882417604515e+01,4.768445042496081143e+00,2.351951156331600679e+00
1.765343686528892064e+01,1.841365142765159746e+01,4.390381646648437552e+00,5.221313387788907967e+00
1.869852105073637816e+01,1.871729392840168771e+01,4.440389029985158054e+00,4.446596984384288298e+00
1.848076096325469209e+01,1.840113837271239206e+01,1.710015124975595713e+00,3.134429092825842922e+00
1.683047295238946006e+01,1.803449938668906327e+01,3.357462885493644134e+00,2.702174382069720160e+00
1.868722470031182681e+01,1.863891899635788363e+01,4.267557486149412327e+00,3.535063087982193153e+00
1.856971175077133296e+01,1.886985527410140762e+01,3.256614178208788069e+00,4.163128244135884337e+00
1.784523960279399901e+01,1.844575329759674887e+01,2.801150617680093102e+00,4.995180765835026904e+00
1.929058441678488478e+01,1.726619333970294434e+01,2.777927048736584581e+00,3.607842212983756625e+00
1.891215588469949793e+01,1.817093026142849510e+01,3.347081844528021044e+00,2.885326013833454883e+00
1.855548071769690566e+01,1.806765739106281643e+01,3.660252242691160784e+00,3.682495197758020034e+00
1.807474823304724154e+01,1.853133018021321377e+01,3.590855755619556611e+00,3.062079909530509347e+00
